match_id,date,detailed_stage,stage_group,team,opponent,team_position,goals_for,goals_against,result_decision,result,fouls_committed
75,29/06/2026,ROUND OF 32,Knockout,Germany,Paraguay,Team 1,1,1,Penalty Shootout,Loss,18
75,29/06/2026,ROUND OF 32,Knockout,Paraguay,Germany,Team 2,1,1,Penalty Shootout,Win,12
76,29/06/2026,ROUND OF 32,Knockout,Netherlands,Morocco,Team 1,1,1,Penalty Shootout,Loss,18
76,29/06/2026,ROUND OF 32,Knockout,Morocco,Netherlands,Team 2,1,1,Penalty Shootout,Win,15
77,30/06/2026,ROUND OF 32,Knockout,Ivory Coast,Norway,Team 1,1,2,Normal Time / Extra Time,Loss,6
77,30/06/2026,ROUND OF 32,Knockout,Norway,Ivory Coast,Team 2,2,1,Normal Time / Extra Time,Win,7
78,30/06/2026,ROUND OF 32,Knockout,France,Sweden,Team 1,3,0,Normal Time / Extra Time,Win,14
78,30/06/2026,ROUND OF 32,Knockout,Sweden,France,Team 2,0,3,Normal Time / Extra Time,Loss,10
79,30/06/2026,ROUND OF 32,Knockout,Mexico,Ecuador,Team 1,2,0,Normal Time / Extra Time,Win,10
79,30/06/2026,ROUND OF 32,Knockout,Ecuador,Mexico,Team 2,0,2,Normal Time / Extra Time,Loss,14
80,01/07/2026,ROUND OF 32,Knockout,England,D.R. Congo,Team 1,2,1,Normal Time / Extra Time,Win,10
80,01/07/2026,ROUND OF 32,Knockout,D.R. Congo,England,Team 2,1,2,Normal Time / Extra Time,Loss,12
81,01/07/2026,ROUND OF 32,Knockout,Belgium,Senegal,Team 1,3,2,Normal Time / Extra Time,Win,22
81,01/07/2026,ROUND OF 32,Knockout,Senegal,Belgium,Team 2,2,3,Normal Time / Extra Time,Loss,12
82,01/07/2026,ROUND OF 32,Knockout,USA,Bosnia & Herzegovina,Team 1,2,0,Normal Time / Extra Time,Win,7
82,01/07/2026,ROUND OF 32,Knockout,Bosnia & Herzegovina,USA,Team 2,0,2,Normal Time / Extra Time,Loss,13
83,02/07/2026,ROUND OF 32,Knockout,Spain,Austria,Team 1,3,0,Normal Time / Extra Time,Win,8
83,02/07/2026,ROUND OF 32,Knockout,Austria,Spain,Team 2,0,3,Normal Time / Extra Time,Loss,15
84,02/07/2026,ROUND OF 32,Knockout,Portugal,Croatia,Team 1,2,1,Normal Time / Extra Time,Win,6
84,02/07/2026,ROUND OF 32,Knockout,Croatia,Portugal,Team 2,1,2,Normal Time / Extra Time,Loss,12
85,02/07/2026,ROUND OF 32,Knockout,Switzerland,Algeria,Team 1,2,0,Normal Time / Extra Time,Win,10
